Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Greece,GRC,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,176.41764929631
Greece,GRC,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,162.090339233038
Greece,GRC,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,156.376886271623
Greece,GRC,2001,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,158.455882352941
Greece,GRC,2000,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,166.362641371762
Greece,GRC,1999,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,169.804489500362
Greece,GRC,1998,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,169.540229885057
Greece,GRC,1997,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,180.709931875224
Greece,GRC,1996,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,199.288256227758
Greece,GRC,1995,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,179.014533853244
Greece,GRC,1994,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,185.825105782793
Greece,GRC,1993,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,179.28848185981
Greece,GRC,1992,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,219.27374301676
Greece,GRC,1991,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,227.450296477154
Greece,GRC,1990,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,240.082787167989
Greece,GRC,1989,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,224.507431731766
Greece,GRC,1988,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,226.61543835138
Greece,GRC,1987,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,210.940766550523
Greece,GRC,1986,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,234.369225425495
Greece,GRC,1985,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,245.640138408304
Greece,GRC,1984,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,222.655715263518
Greece,GRC,1983,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,220.758620689655
Greece,GRC,1982,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,201.707650273224
Greece,GRC,1981,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,198.395555555556
Greece,GRC,1980,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,181.467447468136
Greece,GRC,1979,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,198.361215431888
Greece,GRC,1978,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,198.244953814574
Greece,GRC,1977,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,175.662482566248
Greece,GRC,1976,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,170.259695290859
Greece,GRC,1975,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,159.129642365887
Greece,GRC,1974,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,144.603120759837
Greece,GRC,1973,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,140.464998309097
Greece,GRC,1972,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,121.497487437186
Greece,GRC,1971,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,116.221999331327
Greece,GRC,1970,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,111.844518272425
